uptime_id,ts,site_count,ts_updated
3221,"2018-09-20 17:00:00",26,"2018-09-20 17:30:00"
3220,"2018-09-20 13:00:00",25,"2018-09-20 16:30:00"
3219,"2018-09-20 12:00:00",26,"2018-09-20 12:30:00"
3218,"2018-09-20 11:30:00",25,"2018-09-20 11:30:00"
3217,"2018-09-20 08:30:00",24,"2018-09-20 11:00:00"
3216,"2018-09-20 08:00:00",25,"2018-09-20 08:00:00"
3215,"2018-09-20 07:30:00",24,"2018-09-20 07:30:00"
3214,"2018-09-20 07:00:00",23,"2018-09-20 07:00:00"
3213,"2018-09-20 06:00:00",22,"2018-09-20 06:30:00"
3212,"2018-09-20 00:30:00",23,"2018-09-20 05:30:00"
3211,"2018-09-20 00:00:00",24,"2018-09-20 00:00:00"
3210,"2018-09-19 23:30:00",27,"2018-09-19 23:30:00"
3209,"2018-09-19 23:00:00",26,"2018-09-19 23:00:00"
3208,"2018-09-19 21:30:00",27,"2018-09-19 22:30:00"
3207,"2018-09-19 20:00:00",26,"2018-09-19 21:00:00"
3206,"2018-09-19 17:30:00",27,"2018-09-19 19:30:00"
3205,"2018-09-19 16:30:00",28,"2018-09-19 17:00:00"
3204,"2018-09-19 16:00:00",27,"2018-09-19 16:00:00"
3203,"2018-09-19 14:30:00",28,"2018-09-19 15:30:00"
3202,"2018-09-19 14:00:00",27,"2018-09-19 14:00:00"
3201,"2018-09-19 13:30:00",28,"2018-09-19 13:30:00"
3200,"2018-09-19 13:00:00",27,"2018-09-19 13:00:00"
3199,"2018-09-19 12:30:00",26,"2018-09-19 12:30:00"
3198,"2018-09-19 12:00:00",25,"2018-09-19 12:00:00"
3197,"2018-09-19 11:30:00",26,"2018-09-19 11:30:00"
3196,"2018-09-19 11:00:00",27,"2018-09-19 11:00:00"
3195,"2018-09-19 10:30:00",25,"2018-09-19 10:30:00"
3194,"2018-09-19 09:00:00",26,"2018-09-19 10:00:00"
3193,"2018-09-19 08:00:00",27,"2018-09-19 08:30:00"
3192,"2018-09-19 07:30:00",26,"2018-09-19 07:30:00"
3191,"2018-09-19 07:00:00",25,"2018-09-19 07:00:00"
3190,"2018-09-19 06:30:00",24,"2018-09-19 06:30:00"
